Country,Population,Christian,Christian,Muslim,Muslim,Irreligion,Irreligion,Hindu,Hindu,Buddhist,Buddhist,Folk religion,Folk religion,Other religion,Other religion,Jewish,Jewish
Iceland,"320,000","304,000",95.00%,640,0.20%,"11,200",3.50%,960,0.30%,"1,280",0.40%,"1,600",0.50%,640,0.20%,0,0.00%
Latvia,"2,250,000","1,255,500",55.80%,"2,500",0.10%,"985,500",43.80%,0,0.00%,0,0.00%,0,0.00%,"4,500",0.20%,0,0.00%
Lithuania,"3,320,000","2,981,360",89.80%,"5,000",0.10%,"332,000",10.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Norway,"4,880,000","4,133,360",84.70%,"180,560",3.70%,"492,880",10.10%,"24,400",0.50%,"29,280",0.60%,0,0.00%,"9,760",0.20%,0,0.00%
Sweden,"9,380,000","7,303,360",76.20%,"431,480",4.60%,"2,532,600",27.00%,"18,760",0.20%,"37,520",0.40%,"18,760",0.20%,"18,760",0.20%,"9,380",0.10%
Albania,"3,200,000","576,000",18.00%,"2,569,600",80.30%,"44,800",1.40%,0,0.00%,0,0.00%,0,0.00%,"6,400",0.20%,0,0.00%
Bosnia and Herzegovina,"3,824,782","1,755,574",45.9%,"1,939,164",50.70%,"94,000",2.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Bulgaria,"7,490,353","6,149,290",82.10%,"1,026,130",13.70%,"314,580",4.20%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Greece,"11,360,000","10,008,160",88.10%,"602,080",5.30%,"692,960",6.10%,"11,360",0.10%,0,0.00%,"11,360",0.10%,0,0.00%,0,0.00%
Kosovo,"2,080,000","237,120",11.40%,"1,809,600",87.00%,"33,280",1.60%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Moldova,"3,570,000","3,477,180",97.40%,"21,420",0.60%,"49,980",1.40%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,"21,420",0.60%
Montenegro,"630,000","492,030",78.10%,"117,810",18.70%,"20,160",3.20%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
North Macedonia,"2,060,000","1,221,580",59.30%,"809,580",39.30%,"28,840",1.40%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Serbia,"7,770,000","7,187,250",92.50%,"326,340",4.20%,"256,410",3.30%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Andorra,"80,740","71,600",89.50%,640,0.80%,"7,040",8.80%,400,0.50%,0,0.00%,0,0.00%,80,0.10%,240,0.30%
Gibraltar,"30,000","26,640",88.80%,"1,200",4.00%,870,2.90%,540,1.80%,0,0.00%,0,0.00%,90,0.30%,630,2.10%
Italy,"60,550,000","50,438,150",83.30%,"2,240,350",3.70%,"7,508,200",12.40%,"60,550",0.10%,"121,100",0.20%,"60,550",0.10%,"60,000",0.10%,"50,000",0.08%
Malta,"420,264","407,400",97.00%,840,0.20%,"10,500",2.50%,840,0.20%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Portugal,"10,680,000","10,017,840",93.80%,"64,080",0.60%,"469,920",4.40%,"10,680",0.10%,"64,080",0.60%,"53,400",0.50%,0,0.00%,0,0.00%
San Marino,"30,000","27,480",91.60%,0,0.00%,"2,160",7.20%,0,0.00%,0,0.00%,0,0.00%,270,0.90%,90,0.30%
Spain,"46,080,000","36,218,880",78.60%,"967,680",2.10%,"8,755,200",19.00%,"20,000",0.04%,0,0.00%,"20,000",0.04%,"10,000",0.02%,"46,080",0.10%
Vatican City,800,800,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Belgium,"10,710,530","6,875,820",64.25%,"631,890",5.90%,"3,105,900",29.00%,0,0.00%,"21,420",0.20%,"21,420",0.20%,0,0.00%,"32,130",0.30%
France,"62,790,000","50,557,700",63.00%,"4,709,250",7.50%,"17,581,200",28.00%,"30,000",0.05%,"313,950",0.50%,"188,370",0.30%,"125,580",0.20%,"313,950",0.50%
Ireland,"4,470,000","4,112,400",92.00%,"49,170",1.10%,"277,140",6.20%,"8,940",0.20%,"8,940",0.20%,"8,940",0.20%,0,0.00%,0,0.00%
Isle of Man,"80,000","67,280",84.10%,160,0.20%,"12,320",15.40%,160,0.20%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Luxembourg,"510,000","359,040",70.40%,"11,730",2.30%,"136,680",26.80%,0,0.00%,0,0.00%,0,0.00%,"1,530",0.30%,510,0.10%
Monaco,"40,000","34,400",86.00%,160,0.40%,"4,680",11.70%,0,0.00%,0,0.00%,0,0.00%,80,0.20%,680,1.70%
Netherlands,"16,610,000","8,404,660",50.60%,"996,600",6.00%,"6,992,810",42.10%,"85,905",0.50%,"34,362",0.20%,"34,362",0.20%,"34,362",0.20%,"34,362",0.20%
United Kingdom,"62,040,000","44,110,440",71.10%,"2,729,760",4.40%,"13,214,520",21.30%,"806,520",1.30%,"248,160",0.40%,"186,120",0.30%,"496,320",0.80%,"310,200",0.50%
Europe,"742,520,800","558,221,460",75.18%,"43,459,510",5.85%,"134,783,940",18.15%,"1,250,000",0.17%,"1,347,330",0.18%,"929,660",0.13%,"876,180",0.12%,"1,457,920",0.20%
Australia,"25,422,800","11,148,800",43.90%,"813,392",3.20%,"9,887,000",38.90%,"684,002",2.70%,"615,800",2.40%,"325,400",1.30%,"178,160",0.80%,"100,350",0.40%
New Zealand,"4,699,755","1,738,638",37.00%,"61,455",1.31%,"2,278,185",48.47%,"123,504",2.63%,"52,779",1.12%,"19,011",0.40%,"153,873",3.27%,"5,274",0.11%
Fiji,"860,820","553,840",64.40%,"58,400",6.40%,"6,880",0.80%,"239,941",27.90%,0,0.00%,0,0.00%,"4,300",0.50%,0,0.00%
New Caledonia,"250,000","213,000",85.20%,"7,000",2.80%,"26,000",10.40%,0,0.00%,"1,500",0.60%,500,0.20%,"2,000",0.80%,0,0.00%
Papua New Guinea,"6,860,000","6,805,120",99.20%,"2,020",0.003%,0,0.00%,0,0.00%,0,0.00%,"27,440",0.40%,"13,720",0.20%,0,0.00%
Solomon Islands,"540,000","525,960",97.40%,200,0.10%,"1,080",0.20%,0,0.00%,"1,620",0.30%,"7,020",1.30%,"3,780",0.70%,0,0.00%
Vanuatu,"240,000","223,920",93.30%,"1,000",0.10%,"2,880",1.20%,0,0.00%,0,0.00%,"9,840",4.10%,"3,360",1.40%,0,0.00%
Guam,"180,000","169,560",94.20%,300,0.10%,"3,060",1.60%,0,0.00%,"1,980",1.10%,"2,700",1.50%,"2,880",1.60%,0,0.00%
Kiribati,"101,120","97,000",97.00%,500,0.20%,800,0.80%,0,0.00%,0,0.00%,0,0.00%,"2,200",2.00%,0,0.00%
Marshall Islands,"50,000","48,750",97.50%,180,0.20%,750,1.50%,0,0.00%,0,0.00%,100,0.10%,400,0.80%,0,0.00%
Micronesia,"110,000","104,830",95.20%,208,0.10%,990,1.00%,0,0.00%,440,0.40%,"2,975",2.60%,770,0.70%,0,0.00%
Nauru,"10,000","7,900",79.00%,20,0.01%,450,4.50%,0,0.00%,110,1.10%,810,8.10%,740,7.40%,0,0.00%
Northern Mariana Islands,"60,000","48,780",81.30%,420,0.70%,600,1.00%,0,0.00%,"6,360",10.60%,"3,180",5.30%,660,1.10%,0,0.00%
Palau,"20,000","17,340",86.80%,240,0.10%,240,1.20%,0,0.00%,160,0.80%,160,0.80%,"2,080",10.20%,0,0.00%
American Samoa,"70,920","68,860",98.30%,50,0.10%,490,0.70%,0,0.00%,210,0.30%,280,0.40%,210,0.30%,0,0.00%
Cook Islands,"20,000","19,200",96.00%,0,0.00%,640,3.20%,0,0.00%,0,0.00%,0,0.00%,160,0.80%,0,0.00%
French Polynesia,"270,000","253,800",94.00%,688,0.10%,"13,230",4.80%,0,0.00%,0,0.00%,"1,350",0.50%,"1,080",0.40%,0,0.00%
Niue,"2,000","1,928",96.40%,50,0.10%,66,3.20%,0,0.00%,0,0.00%,0,0.00%,4,0.20%,0,0.00%
Samoa,"180,000","174,240",96.80%,300,0.10%,"4,500",2.50%,0,0.00%,0,0.00%,0,0.00%,720,0.30%,0,0.00%
Tokelau,"1,414","1,397",99.80%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,0.20%,0,0.00%
Tonga,"100,000","99,000",99.00%,120,0.10%,0,0.00%,100,0.10%,0,0.00%,0,0.00%,900,0.80%,0,0.00%
Tuvalu,"11,000","10,800",99.80%,200,0.20%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Wallis and Futuna,"13,000","12,662",97.40%,0,0.00%,78,0.60%,0,0.00%,0,0.00%,156,1.20%,104,0.80%,0,0.00%
